Costa  Cinnamon Latte Skimmed ,,Costa,Beverages,Medium,,154,10.3,0.5,27.4,27,,0.3,,,,,
Costa  Cinnamon Latte Skimmed ,,Costa,Beverages,Large,,201,13.3,0.6,35.9,35.4,,0.4,,,,,
Costa  Cinnamon Latte Soya ,,Costa,Beverages,Small,,119,6.4,3.7,14.1,13.7,,0.6,,,,,
Costa  Cinnamon Latte Soya ,,Costa,Beverages,Medium,,184,10,5.7,21.6,20.9,,0.9,,,,,
Costa  Cinnamon Latte Soya ,,Costa,Beverages,Large,,239,12.9,7.4,28.4,27.5,,1.1,,,,,
Pizza hut  Classic Caesar Salad,,Pizza hut,Branded,1 serving,280,445.2,35.59,24.64,20.02,<0.1,,,,1.37,,,
Pizza hut  Classic Cheese So cheesy pizza,,Pizza hut,Branded,1 slicePersonal,92,275.8,11.32,13.19,27.94,<0.1,,,,0.45,,,
Pizza hut  Classic Cheese So cheesy pizza,,Pizza hut,Branded,1 sliceMedium,108,323.77,13.29,15.49,32.8,<0.1,,,,0.53,,,
Quaker  Classic Elaichi & Raisins,Oats,Quaker,Branded,100 g ,100,396,10.7,7,72.5,14.5,,,,11,,,
Lays  Classic Salted,Potato chips,Lays,Branded,100 g ,100,554,7,35.5,51.7,2.6,,,,476,,,
Pizza hut  Classic Vanilla,,Pizza hut,Branded,1 serving,80,136,3.2,6.8,16,12,,,,0.04,,,
McDonalds  Coffee with Milk,,McDonalds,Beverages,1 serving,200,34,1,2,3,1,0,1.4,,20,,,
McDonalds  Cold Coffee,,McDonalds,Beverages,1 serving,250,182,5,3,33,21,0,0,,0,,,
Kurkure  Corn Cups Yummy Cheese,Indian namkeen,Kurkure,Branded,100 g ,100,525,6.2,30,57.7,4,,,,947,,,
KFC  Corn Cupz,,KFC,Branded,1 serving,100,142.21,4.01,7.33,15.05,,,3.01,,0.34,,,
Kelloggs  Corn flakes with almond and honey,,Kelloggs,Branded,1 serving,30,117,2.1,1.7,24,8.1,0.6,0.2,0,200,,,
Kelloggs  Corn flakes with real banana puree and banana chips,,Kelloggs,Branded,1 serving,30,120,2.1,1.1,26,9,0.5,0.8,0,200,,,
Kelloggs  Corn flakes with real mango puree,,Kelloggs,Branded,1 serving,30,110,1.8,0.2,26.3,10.7,0.9,0,0,200,,,
Kelloggs  Cornflakes,,Kelloggs,Branded,1 serving,30,112,2.4,0.3,25.7,2.5,0.8,0.1,0,230,,,
Kelloggs  Cornflakes witth real honey,,Kelloggs,Branded,1 serving,30,113,1.8,0.2,26.6,9.5,0.5,0,0,200,,,
Costa  Cortado Full Fat ,,Costa,Beverages,Solo,,82,4.3,4.6,6.1,6,,2.9,,,,,
Costa  Cortado Skimmed ,,Costa,Beverages,Solo,,45,4.4,0.2,6.5,6.4,,0.1,,,,,
Costa  Cortado Soya ,,Costa,Beverages,Solo,,57,4.3,2.4,4,3.8,,0.4,,,,,
Tropicana  Cranberry Twirl ,,Tropicana,Beverages,100 ml,100,56,,0,14,14,,,,,,,
Pizza hut  Cream o Liscious Fusilli,,Pizza hut,Branded,Personal,,618.8,20.45,32.86,60.32,<0.1,,,,2.06,,,
Pizza hut  Cream o Liscious Fusilli,,Pizza hut,Branded,Regular,,414.6,13.7,22.02,40.41,<0.1,,,,1.38,,,
Pizza hut  Cream o Liscious Fusilli,,Pizza hut,Branded,Personal,,728.3,30.13,37.28,68.43,<0.1,,,,2.34,,,
Pizza hut  Cream o Liscious Fusilli,,Pizza hut,Branded,Regular,,473,19.57,24.21,44.45,<0.1,,,,1.52,,,
Maggi  Creamy chicken soup,,Maggi,Branded,1 serving,1 pack= 4 servings,39,1,1.1,6.4,,,1,,,,,
Pizza hut  Creamy Mushroom Fusilli,,Pizza hut,Branded,Personal,,933.98,15.07,47.84,108.67,6.83,,,,1.78,,,
